      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z

    -0.003833         -0.018054         0.021475          -2.134146         -0.121951         -1.280488
    -0.003848         -0.021865         0.012297          -3.04878         0.060976         -1.158537
    -0.004641         -0.021594         -0.000514          -2.652439         0.030488         -1.189024
    -0.00176         -0.017275         -0.005294          -1.95122         -0.243902         -1.371951
    0.001717         -0.008156         -0.005798          -1.128049         -0.487805         -1.615854
    0.004108         -0.002619         -0.005224          0.091463         -0.609756         -1.189024
    0.007974         0.003374         -0.004374          1.128049         -0.884146         -0.762195
    0.008723         -0.005113         -0.002132          1.432927         -0.853659         -0.884146
    0.00776         -0.008583         0.007279          1.890244         -0.27439         -0.213415
    0.000934         -0.01546         0.011487          2.195122         0.396341         0.396341
    -0.003549         -0.012759         0.011533          1.95122         1.006098         0.030488
    -0.00616         -0.00298         0.014891          1.646342         1.402439         -0.70122
    -0.006881         0.009334         0.011912          0.670732         1.463415         -0.609756
    -0.007849         0.011764         0.001522          -0.213415         1.128049         -0.884146
    -0.006084         0.008826         0.000241          -0.823171         0.884146         -0.670732
    -0.00389         -0.001533         -0.000002          -1.554878         0.762195         -1.158537
    -0.003698         -0.014508         -0.008205          -1.798781         0.152439         -1.615854
    0.001534         -0.013559         -0.00422          -0.243902         0.060976         -1.676829
    0.002594         -0.004793         0.003069          1.219512         0.152439         -1.310976
    -0.000659         -0.002467         0.000893          0.762195         0         -0.823171
    0.004746         0.003104         0.004816          0.731707         -0.213415         -1.310976
    0.002234         0.014984         0.007173          0.731707         -0.396341         -1.219512
    -0.001142         0.008081         0.005543          -0.304878         -0.640244         -1.310976
    -0.003062         0.004316         0.0017          -0.823171         -0.548781         -1.493902
    -0.001473         -0.003578         -0.00157          -0.579268         -0.396341         -1.310976
    -0.000983         -0.007746         -0.003599          0.182927         -0.487805         -1.067073
    -0.001373         -0.004439         -0.002684          1.067073         -0.670732         -0.731707
    -0.000707         -0.000621         -0.001757          1.52439         -0.792683         -0.731707
    0.006075         0.003214         -0.001601          2.042683         -1.006098         -0.823171
    0.005641         0.005892         -0.001085          2.77439         -1.128049         -0.365854
    0.003536         0.006862         0.000499          3.109756         -0.884146         -0.457317
    0.001267         0.005489         0.009384          2.835366         -0.884146         -0.518293
    0.002966         0.003415         0.003015          2.347561         -0.670732         -1.097561
    0.001397         0.000779         0.001045          2.164634         -0.762195         -0.884146
    0.002484         0.005311         0.001617          2.591464         -0.762195         -0.762195
    0.002378         0.003467         -0.003394          3.689024         -0.731707         -0.914634
    0.00366         -0.0025         -0.003692          5.121951         -0.945122         -1.036585
    -0.000587         -0.001609         0.003687          6.402439         -1.189024         -1.036585
    -0.00047         -0.002654         0.001973          6.890244         -1.219512         -1.371951
    0.002554         -0.005639         0.001774          6.981708         -1.189024         -1.890244
    0.00302         -0.004707         -0.003073          8.353659         -1.006098         -2.164634
    0.004759         -0.009234         -0.005388          11.615854         -0.884146         -2.134146
    0.012011         -0.001918         0.009947          15.27439         -0.823171         -1.554878
    0.017812         0.012137         0.026317          16.829269         -0.457317         -0.731707
    0.01796         0.035882         0.046249          16.310976         0.457317         -0.762195
    0.023939         0.039447         0.042468          12.530488         1.402439         -0.121951
    0.023448         0.02941         0.026748          8.414635         1.097561         -0.182927
    0.019149         0.016887         0.017687          6.585366         1.067073         0.27439
    0.022936         -0.002115         0.003603          5.70122         0.518293         1.371951
    0.021279         -0.027474         -0.011571          7.22561         -0.152439         2.652439
    0.028742         -0.001666         0.030782          12.5         -1.737805         4.359756
    0.028071         -0.032583         0.040251          9.72561         -3.445122         7.073171
    0.015426         0.000106         0.066771          13.719513         -3.780488         9.72561
    0.008239         0.063561         0.091307          12.896341         -5.731708         11.585366
    -0.020752         0.015302         0.009765          0.426829         -6.981708         12.987805
    -0.066407         -0.006704         -0.059962          -5.426829         -8.506098         13.963415
    -0.065039         -0.006926         -0.05461          -3.536585         -8.902439         10.640244
    -0.046172         0.011842         -0.002672          2.378049         -7.286585         3.140244
    -0.043578         0.035646         0.023643          9.29878         -5.823171         -0.091463
    -0.050878         0.065821         0.057196          12.835366         -3.628049         -1.859756
    -0.053789         0.092891         0.060015          11.52439         -0.396341         -5.853659
    -0.05475         0.090524         0.02848          7.439024         2.682927         -10.304878
    -0.049268         0.077107         0.012823          4.207317         5.670732         -14.817074
    -0.046641         0.050357         0.005181          1.067073         8.871951         -19.45122
    -0.037899         0.002786         0.008246          -3.231707         10.670732         -22.560976
    -0.033249         -0.067693         -0.030903          -10.060976         13.140244         -23.810976
    -0.032458         -0.068608         -0.057144          -11.585366         17.743902         -26.79878
    -0.029873         -0.06016         -0.080481          -10.426829         22.225611         -29.146341
    -0.003586         -0.10301         -0.133135          -4.237805         24.969513         -30.335367
    0.016662         -0.077135         -0.123891          13.018293         26.981709         -30.396341
    0.028174         -0.068349         -0.093253          22.225611         27.103659         -29.908537
    0.045586         -0.051749         -0.040618          25.731709         26.310976         -31.280489
    0.08393         -0.011712         0.016138          28.506098         23.871952         -28.62805
    0.106597         -0.042572         -0.015605          21.829269         18.20122         -21.402439
    0.097387         -0.058863         -0.064047          12.256098         11.493903         -11.463415
    0.103495         -0.066621         -0.101628          2.865854         4.329268         -5.579268
    0.10682         -0.055641         -0.077201          0.426829         -2.286585         -1.920732
    0.120807         -0.024591         -0.005706          7.134147         -7.987805         3.079268
    0.112271         -0.001313         0.066138          13.841464         -11.890244         9.542684
    0.086692         0.04016         0.131622          17.713415         -15.579268         16.95122
    0.075213         0.045409         0.149829          13.658537         -18.719513         21.920732
    0.051186         0.023828         0.114589          2.743902         -21.067074         27.713415
    0.034113         0.006367         0.070773          -6.341464         -22.652439         30.975611
    0.024751         0.032632         0.075564          -6.219512         -23.140244         30.945122
    -0.001488         0.066731         0.096584          -0.792683         -22.195122         29.939026
    -0.018378         0.103971         0.102462          1.798781         -21.768293         29.115854
    -0.013335         0.086692         0.098376          -1.463415         -20.609756         27.560976
    -0.035473         0.097283         0.08456          -6.52439         -19.359756         25.42683
    -0.071933         0.089741         0.061789          -14.72561         -18.262196         21.341463
    -0.130789         0.049332         -0.009749          -23.292683         -16.768293         16.890244
    -0.190373         0.024036         -0.057018          -20.609756         -13.018293         10.182927
    -0.198392         0.053213         -0.019638          -6.432927         -6.737805         -0.365854
    -0.173753         0.06425         -0.00028          3.871951         0.609756         -9.817074
    -0.148573         0.072299         -0.003545          10.487805         7.012195         -17.5
