      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    -0.174609         -0.692773         0.352734          null         null         null
    -0.138125         -0.555781         0.286289          null         null         null
    -0.109133         -0.45107         0.220438          null         null         null
    -0.088283         -0.36027         0.176936          null         null         null
    -0.067306         -0.28763         0.142135          null         null         null
    -0.054821         -0.228932         0.111169          null         null         null
    -0.042881         -0.183537         0.089716          null         null         null
    -0.032742         -0.146048         0.079976          null         null         null
    -0.026389         -0.113518         0.064957          null         null         null
    -0.025994         -0.087494         0.056263          null         null         null
    -0.020795         -0.071948         0.038565          null         null         null
    -0.018589         -0.056582         0.028313          null         null         null
    -0.013504         -0.052297         0.011908          2.5         -1.067073         0.27439
    -0.008655         -0.042619         0.011089          2.103659         1.067073         -0.70122
    -0.009463         -0.031751         0.007113          3.567073         1.036585         -0.335366
    -0.009133         -0.02501         0.012722          4.664634         0.823171         -0.243902
    -0.015509         -0.011219         0.017013          4.329268         0.70122         -0.304878
    -0.01104         -0.013077         0.016345          0.579268         0.121951         0.213415
    -0.009418         -0.01261         0.007217          -1.158537         0.060976         -0.426829
    -0.004214         -0.010674         0.001281          -0.457317         0.182927         -1.006098
    -0.003762         -0.009516         0.000244          0.091463         0.213415         -1.097561
    -0.003596         -0.009175         0.001562          0.792683         0.27439         -1.280488
    -0.002876         -0.01066         -0.001289          2.439024         0.030488         -1.798781
    0.001019         -0.00306         0.000531          4.237805         -0.060976         -2.286585
    0.008237         0.00224         0.007847          4.512195         0.091463         -2.804878
    0.010887         0.00687         0.01702          3.567073         0.304878         -2.439024
    0.017303         0.007254         0.011662          1.798781         0.579268         -1.707317
    0.016186         0.000334         0.007377          0.762195         1.067073         -1.036585
    0.014511         -0.003053         -0.002692          1.006098         1.493902         -0.243902
    0.008289         -0.001856         -0.003912          1.371951         1.859756         1.006098
    0.007608         0.001445         0.000972          0.853659         1.920732         1.798781
    -0.002312         0.003109         0.002926          -0.609756         1.707317         1.95122
    -0.009467         -0.00474         0.000388          -1.52439         2.042683         1.219512
    -0.014214         -0.002815         -0.001057          -0.731707         2.5         1.158537
    -0.018403         0.000092         -0.001627          0.152439         2.896342         0.884146
    -0.015894         -0.001684         0.002019          -0.304878         3.018293         0.396341
    -0.013887         -0.001152         -0.000533          -1.280488         2.987805         0
    -0.005055         -0.005023         -0.004919          -0.518293         2.530488         -0.182927
    0.00455         -0.005972         -0.004716          1.890244         1.981707         0.579268
    0.017898         -0.01259         -0.00182          4.603659         1.036585         1.280488
    0.032482         -0.000306         0.015732          7.408537         0.030488         2.347561
    0.052548         -0.002784         0.035046          8.597561         -1.310976         4.390244
    0.065476         0.004023         0.046592          7.378049         -3.018293         7.530488
    0.047303         0.034859         0.070476          4.634147         -3.109756         8.902439
    0.04253         0.058551         0.091733          2.743902         -1.768293         8.536586
    0.014297         0.049575         0.08198          0.762195         -0.152439         10.182927
    -0.016297         0.024426         0.083357          -3.170732         1.280488         12.042684
    -0.04917         -0.014444         0.052819          -12.713415         3.628049         10.243902
    -0.120586         -0.035969         0.034247          -21.646341         6.402439         10.426829
    -0.15018         0.028256         0.054351          -17.987804         14.481708         1.432927
