     a                  b                  c                   d               e                f
    -0.002101         -0.004279         0.000334          -1.219512         0.853659         -0.121951
    0.002616         0.00146         -0.000123          -0.670732         1.067073         -0.060976
    -0.002595         0.002339         0.000292          -0.030488         1.25         0.152439
    -0.003052         0.005973         0.000429          0.152439         1.371951         0
    -0.003809         0.000677         -0.002001          -0.27439         1.432927         -0.121951
    -0.002852         0.001323         -0.001405          -0.426829         1.432927         -0.640244
    -0.006383         -0.00402         -0.001515          -0.27439         1.341463         -1.25
    -0.002177         -0.008099         -0.00004          0.121951         0.884146         -1.95122
    0.001188         0.000357         0.007195          0.27439         0.487805         -2.22561
    0.004466         0.001067         0.007709          -0.518293         0         -2.103659
    0.006307         0.000853         -0.001255          -1.432927         -0.182927         -2.164634
    0.005827         -0.002638         -0.002762          -1.585366         0.030488         -2.012195
    0.004466         -0.002696         -0.006311          -1.158537         0.304878         -1.52439
    -0.000138         -0.002938         -0.007392          0.030488         0.792683         -0.792683
    -0.005384         0.001751         -0.002203          1.158537         0.97561         -0.518293
    -0.004112         0.001206         0.001363          1.890244         0.884146         -0.853659
    -0.007586         0.004871         0.009489          1.981707         1.006098         -1.189024
    0.000181         -0.005869         0.010325          0.457317         1.189024         -1.798781
    0.002684         -0.002156         -0.002677          -2.042683         1.097561         -0.670732
    0.00371         0.003744         -0.005853          -2.439024         0.914634         -0.152439
    -0.001329         0.00319         -0.006245          -1.280488         0.762195         -0.304878
    0.004015         0.008412         -0.002457          -0.70122         0.365854         -0.365854
    0.000673         0.009268         0.005847          -0.640244         0.152439         -0.457317
    0.004444         -0.000007         0.004678          -1.554878         0.121951         -1.128049
    0.001993         -0.003717         -0.000945          -2.012195         0.365854         -1.219512
    0.000227         -0.002778         -0.005639          -1.463415         0.396341         -1.067073
    -0.000014         -0.002027         -0.000996          -0.853659         0.335366         -0.609756
    0.001356         -0.004356         -0.000406          -0.396341         0.670732         -0.335366
    -0.00536         -0.002899         -0.006184          0.243902         0.884146         0.243902
    -0.002921         -0.002514         -0.005338          1.402439         1.036585         0.030488
    -0.003704         0.001895         0.004909          2.195122         0.945122         -0.304878
    -0.001401         -0.001609         0.00256          1.676829         1.128049         -0.548781
    -0.002488         -0.000506         0.004197          1.219512         1.067073         -0.823171
    -0.002967         -0.004702         0.002576          -0.792683         1.067073         -0.640244
    0.004267         0.002489         -0.003603          -2.012195         0.518293         0.27439
    -0.000883         0.00453         0.005711          -0.548781         0.304878         0.060976
    0.000661         0.005382         0.005546          -0.304878         0.243902         -0.335366
    0.001896         0.00411         -0.001618          -0.945122         0.152439         -0.304878
    -0.000827         0.002507         -0.004224          -1.067073         -0.060976         -0.243902
    0.002659         -0.002487         -0.001036          -0.853659         0         -0.457317
    0.000369         -0.000622         0.002101          -0.70122         0.243902         0.030488
    -0.003806         0.001455         0.000704          -1.006098         0.426829         0.213415
    -0.001092         -0.001765         -0.00139          -1.25         0.548781         0.060976
    0.002251         -0.002389         -0.001112          -1.158537         0.670732         0.091463
    0.001606         -0.000739         0.002626          -0.762195         0.97561         0.091463
    0.002066         0.000776         -0.000047          -0.670732         1.219512         0.060976
    -0.001277         0.002964         -0.001796          -0.731707         1.280488         0.152439
    -0.000631         0.002567         -0.00378          -0.884146         1.067073         0.121951
    0.001839         0.001663         -0.000485          -1.067073         0.792683         0.27439
    0.001471         -0.000818         0.002737          -1.432927         0.823171         0.304878
    -0.000971         0.000517         -0.004451          -1.859756         0.945122         0.487805
    -0.003707         0.001586         -0.005319          -1.554878         0.731707         0.335366
    -0.001012         0.001855         -0.002107          -1.25         0.579268         0.152439
    -0.004716         0.003632         -0.000513          -1.310976         0.609756         -0.457317
    -0.001039         -0.004126         0.00916          -1.128049         0.396341         -1.25
    0.003075         -0.008379         0.010453          -1.158537         0.27439         -1.341463
    -0.003985         -0.012562         0.00719          -1.25         0.335366         -0.487805
    -0.002797         -0.008683         -0.00167          -1.585366         0.518293         0.121951
    -0.001457         -0.005384         -0.009344          -1.707317         0.487805         0.365854
    0.001178         -0.000401         -0.0106          -1.036585         0.152439         0.365854
    -0.000034         0.006711         -0.011214          -0.243902         -0.152439         0.213415
    0.00466         0.011228         0.001966          -0.121951         -0.396341         -0.426829
    0.005877         0.006053         0.003526          -1.006098         -0.152439         -0.853659
    -0.002916         0.000936         0.000868          -1.402439         0.97561         0.030488
    0.010558         0.003092         -0.003017          -1.219512         1.25         -0.518293
    -0.001319         -0.008268         -0.008468          -0.792683         1.493902         -0.060976
    -0.002813         0.001198         -0.008142          0.823171         1.493902         1.067073
    -0.010063         -0.000018         -0.005341          2.378049         1.615854         1.554878
    -0.008246         -0.001186         0.01311          3.963415         1.493902         1.128049
    -0.003862         -0.002512         0.021425          3.932927         1.432927         0.518293
    -0.001918         -0.006502         0.017335          2.713415         1.25         0.304878
    0.006473         -0.001295         0.000782          1.25         1.128049         0.091463
    0.005374         0.000136         -0.011093          0.762195         0.518293         0.457317
    0.013674         0.000304         -0.011218          1.097561         -0.335366         1.219512
    0.0209         0.001806         0.010166          1.585366         -0.182927         2.286585
    0.01965         0.003007         0.009305          -0.457317         -0.487805         3.231707
    0.050876         -0.070251         -0.025173          -4.939024         -3.384146         2.195122
    0.048709         -0.017919         0.020096          -0.731707         -4.146341         4.390244
    0.012209         0.037422         0.057483          5.091464         -3.04878         5.823171
    0.05801         -0.061664         0.007314          0.27439         -4.420732         1.402439
    0.046603         0.019614         -0.002352          -4.908537         -6.646342         6.646342
    -0.006663         0.081707         0.017845          -2.652439         -5.487805         7.865854
    -0.009041         0.029233         0.023651          3.871951         -3.20122         1.585366
    -0.025592         0.039207         0.007397          2.713415         -2.804878         0.030488
    -0.054068         0.070037         0.017051          -0.548781         -3.109756         -0.091463
    -0.059856         0.048413         0.032586          -0.548781         -0.182927         -6.219512
    -0.048666         0.019199         0.030756          -0.304878         2.713415         -10.762196
    -0.053972         -0.005735         0.006832          -0.121951         5.487805         -11.52439
    -0.07306         0.019436         -0.02598          1.219512         7.378049         -12.103659
    -0.080518         0.066916         -0.022347          6.981708         10         -15.487805
    -0.056993         0.027556         -0.012408          11.676829         11.25         -21.158537
    -0.058094         0.047045         -0.001528          13.567074         12.317074         -22.896341
    -0.054483         0.01537         0.008348          14.969513         14.115854         -26.554878
    -0.049837         -0.018758         -0.011681          11.737805         15.426829         -28.932928
