      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    -0.093945         -0.350391         0.711133          null         null         null
    -0.069297         -0.285586         0.565195          null         null         null
    -0.051141         -0.228664         0.454695          null         null         null
    -0.044428         -0.17922         0.364733          null         null         null
    -0.04355         -0.144158         0.291005          1.463415         -0.27439         1.25
    -0.035817         -0.116303         0.237492          0.518293         0.304878         -0.030488
    -0.030021         -0.090894         0.184134          -0.213415         0.670732         -0.304878
    -0.021868         -0.071543         0.14301          -1.006098         0.731707         -0.609756
    -0.01476         -0.059578         0.11265          -0.97561         0.518293         -0.97561
    -0.009074         -0.047858         0.092855          -0.792683         0.396341         -1.006098
    -0.005306         -0.03731         0.069791          -1.280488         0.426829         -0.97561
    -0.004049         -0.032973         0.057591          -1.402439         0.121951         -0.914634
    -0.002849         -0.024816         0.048807          -0.70122         0.182927         -0.640244
    -0.007748         -0.020634         0.036116          -0.548781         0.365854         -0.27439
    -0.00698         -0.009281         0.027721          -0.182927         0.335366         -0.304878
    -0.008318         -0.011526         0.031942          0.27439         0.182927         -0.823171
    0.000767         -0.015471         0.027507          -0.27439         0.304878         -1.006098
    -0.006222         -0.011009         0.022201          -0.762195         0.670732         -0.487805
    -0.00361         -0.010565         0.005065          -1.676829         0.823171         -0.243902
    -0.00406         -0.003374         0.001513          -0.640244         0.335366         -0.396341
    -0.001686         -0.00602         0.01332          1.067073         0.304878         -0.914634
    -0.001739         -0.000128         0.008703          0.335366         0.457317         -0.304878
    0.000171         0.002437         -0.001631          -1.310976         0.548781         -0.304878
    0.005996         -0.000785         -0.000329          -1.52439         -0.030488         -0.945122
    0.004602         -0.003167         0.011651          -0.152439         0.060976         -1.158537
    0.001142         -0.003706         0.007563          -0.426829         0.70122         -0.70122
    0.001109         -0.003941         -0.005668          -1.646342         1.006098         -0.060976
    -0.001066         0.002706         -0.005902          -0.884146         0.731707         0.030488
    0.0011         -0.003108         0.003872          0.884146         0.152439         -0.548781
    -0.006541         0.000248         0.011106          1.310976         0.548781         -0.335366
    -0.008163         0.007034         0.001463          -1.189024         0.884146         0.396341
    -0.002038         0.000354         -0.004885          -2.591464         0.548781         -0.091463
    0.004229         -0.007139         0.002538          -1.52439         0.182927         -0.823171
    0.000063         -0.005711         0.009452          -0.487805         0.304878         -0.823171
    0.000246         -0.000272         -0.000056          -0.945122         0.670732         -0.426829
    -0.001561         0.003103         -0.013326          -1.554878         0.670732         -0.243902
    0.00461         0.003263         -0.000114          -0.396341         0.335366         -0.731707
    0.000368         0.000853         0.007136          0.213415         0.487805         -0.914634
    -0.00576         0.001854         0.002779          -0.640244         0.853659         -0.426829
    -0.002265         -0.000274         -0.006566          -1.920732         0.914634         -0.426829
    0.003852         -0.005688         -0.005058          -1.615854         0.579268         -0.823171
    0.003082         -0.007871         0.005524          -0.304878         0.365854         -1.067073
    0.001098         -0.002976         0.00481          0.121951         0.762195         -0.670732
    -0.005176         0.003088         -0.004746          -0.640244         0.823171         -0.152439
    -0.001211         0.004814         -0.004578          -0.548781         0.426829         -0.27439
    0.001765         0.005609         0.008252          -0.152439         0.060976         -0.518293
    -0.000345         0.002143         0.006406          -0.609756         0.243902         -0.609756
