      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z

    -0.010853         -0.058401         0.063219          -1.493902         -1.402439         1.189024
    -0.007315         -0.051018         0.042958          -2.652439         -1.646342         0.213415
    -0.003118         -0.046478         0.022648          -2.469512         -1.310976         -0.640244
    -0.001127         -0.040308         0.013626          -0.884146         -0.97561         -1.52439
    -0.000902         -0.032832         0.017737          1.52439         -0.396341         -1.981707
    -0.000135         -0.021383         0.022197          3.47561         -0.457317         -1.95122
    0.000868         -0.014372         0.018539          4.268293         -0.609756         -1.981707
    0.004601         -0.004662         0.02362          4.207317         -0.853659         -1.737805
    0.005048         -0.000214         0.022998          2.896342         -0.945122         -1.128049
    0.004624         -0.003687         0.013906          1.006098         -0.762195         -0.365854
    -0.00216         -0.002754         0.002336          -0.030488         -0.213415         0.487805
    -0.004072         -0.011773         -0.002428          0.060976         0.121951         0.548781
    -0.006773         -0.008247         0.001573          1.189024         0.030488         0.152439
    -0.006004         -0.005426         0.003602          2.317073         -0.335366         -0.884146
    -0.000116         0.000542         0.009327          2.926829         -0.97561         -1.829268
    0.003423         0.004731         0.011563          2.378049         -1.280488         -2.22561
    0.007426         0.007691         0.010032          0.884146         -1.341463         -2.012195
    0.007698         0.000489         0.002752          -0.640244         -0.762195         -1.493902
    0.00401         -0.004883         -0.003462          -1.432927         -0.213415         -0.823171
    -0.000307         -0.008203         -0.001598          -0.823171         -0.030488         -0.518293
    -0.001613         -0.004804         -0.004208          0.426829         -0.030488         -0.762195
    -0.0009         -0.003648         -0.003953          1.981707         -0.243902         -0.762195
    -0.000134         0.004308         0.005236          3.170732         -0.304878         -0.945122
    -0.001084         0.007743         0.009072          3.04878         -0.396341         -1.158537
    -0.000281         0.009124         0.012922          1.52439         -0.792683         -1.219512
    0.000166         0.002612         0.002134          -0.457317         -1.067073         -1.52439
    -0.002211         -0.00084         -0.002394          -1.493902         -1.158537         -1.890244
    0.002333         -0.006727         -0.006017          -1.493902         -1.341463         -2.5
    0.003819         -0.006358         -0.00872          -0.060976         -1.25         -2.530488
