      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z

    0.017561         -0.116589         0.030446          -1.859756         7.865854         -9.481708
    0.008385         -0.085849         0.032169          6.097561         9.085366         -4.817073
    -0.018878         -0.048367         0.043509          12.103659         9.542684         -0.914634
    -0.030337         -0.02385         0.061955          14.72561         8.841464         -0.731707
    -0.010402         -0.020837         0.064799          12.408537         6.280488         -1.707317
    -0.009103         -0.02917         0.045394          8.567074         4.786585         -1.585366
    -0.023298         -0.007711         0.02401          6.646342         5.121951         -3.20122
    -0.021373         0.000081         0.027021          5.335366         4.72561         -6.95122
    -0.012801         -0.008333         0.018882          3.04878         3.20122         -10.487805
    0.001282         -0.013698         0.003387          1.95122         1.493902         -13.384147
    0.021924         -0.01213         0.00642          3.140244         -0.213415         -14.085366
    0.024375         0.005335         0.002402          4.359756         -0.060976         -12.378049
    0.033367         0.004854         0.005437          4.512195         0.365854         -9.054878
    0.020835         -0.007054         0.004155          4.390244         1.219512         -4.054878
    -0.008137         -0.0033         0.000785          5.243903         2.469512         -0.853659
    -0.015885         0.004196         0.00551          6.219512         3.262195         -2.256098
    -0.005676         0.003161         0.00558          6.615854         3.567073         -5.182927
    0.005224         0.007021         0.000363          6.859756         4.329268         -7.164634
    0.011211         0.003664         0.003806          7.591464         6.097561         -7.957317
    0.007797         -0.005858         0.002263          8.20122         8.567074         -7.987805
    -0.000403         -0.017968         0.007084          9.329268         10.670732         -8.445122
    -0.009112         -0.013397         0.008011          11.463415         12.164635         -9.542684
    -0.006313         0.013696         0.013831          13.536586         11.95122         -11.158537
    0.006473         0.021894         0.031377          13.292684         10.945122         -11.402439
    0.006155         0.017711         0.022563          8.506098         9.329268         -9.237805
    -0.019099         0.004794         0.007113          3.47561         7.957317         -7.621952
    -0.010592         -0.005149         -0.004662          0.030488         5.243903         -8.140244
    -0.002028         0.000373         -0.007245          -1.829268         3.597561         -8.810976
    0.001698         0.003228         0.001235          -1.219512         1.890244         -8.04878
    0.00546         0.005121         0.007434          0.853659         -0.27439         -7.012195
    -0.00032         -0.003129         0.010244          2.591464         -2.012195         -6.646342
    -0.000842         -0.008363         0.007609          3.109756         -2.926829         -7.621952
    0.003038         -0.004347         0.002376          2.987805         -3.963415         -8.079268
    0.018446         -0.003087         -0.007474          4.054878         -5.487805         -7.012195
    0.027842         -0.003641         -0.017112          7.134147         -6.310976         -4.45122
    0.028133         -0.008772         -0.023846          11.79878         -5.426829         -1.707317
    0.025046         -0.000768         -0.014585          18.810976         -4.72561         0.823171
    0.019841         0.015206         0.016848          26.859756         -4.054878         2.073171
    0.018412         0.034235         0.058986          30.975611         -3.658537         3.292683
    0.029964         0.061958         0.102658          27.560976         -3.963415         6.890244
    0.031198         0.055817         0.114939          14.115854         -4.207317         14.878049
    0.021052         -0.001245         0.06324          -3.932927         -4.512195         25.335367
    -0.012846         -0.106465         -0.00351          4.756098         -3.445122         25.274391
    0.022926         0.045883         0.106372          36.097561         -5.457317         2.22561
    -0.043573         0.088464         0.058926          30.42683         0.823171         -4.420732
    -0.051851         0.062373         0.006516          14.817074         3.902439         -4.634147
    -0.030934         -0.000688         -0.046155          14.72561         7.591464         -12.621951
    -0.088614         0.026403         -0.14376          59.817074         15.853659         -31.219513
    -0.108391         0.174638         -0.012469          103.414635         13.20122         -31.219513
    -0.097846         0.172718         0.070103          83.567078         10.54878         -27.92683
    -0.109527         0.012393         0.027372          32.378048         13.536586         -30.030489
    -0.094848         -0.156687         -0.039431          -3.75         12.926829         -23.170732
    -0.035644         -0.212264         -0.102443          -15.487805         10.457317         -17.469513
    0.003907         -0.192858         -0.152658          -11.097561         7.896342         -14.054878
    0.036719         -0.141982         -0.176618          1.219512         3.75         -8.109756
    0.069024         -0.045031         -0.156724          14.908537         -2.103659         -0.27439
    0.127875         0.023155         -0.067372          21.402439         -9.72561         10.152439
    0.152496         0.066376         0.027353          15.304878         -17.896341         25.243902
    0.188989         0.066382         0.093367          2.591464         -25.670732         34.634148
    0.212519         0.048613         0.128795          -1.189024         -30.274391         40.457317
    0.217671         0.058227         0.158895          4.908537         -33.5061         45.853661
    0.220426         0.063964         0.158757          16.036585         -34.237804         45.030487
    0.210325         0.118163         0.165287          30.914635         -32.957317         40.243904
    0.161815         0.175585         0.206839          39.634148         -27.408537         34.268295
    0.0566         0.24789         0.224455          35.335365         -16.189024         24.756098
    -0.092415         0.286593         0.219994          25.182928         -2.164634         9.695122
    -0.202838         0.197243         0.17287          11.280488         5.97561         -0.152439
    -0.306216         0.044514         0.111734          -3.963415         10.152439         -2.591464
    -0.335988         0.025455         -0.018035          -6.52439         13.75         -18.536587
    -0.294963         -0.017332         -0.112865          1.981707         16.95122         -40.121952
    -0.277376         -0.015037         -0.158456          16.036585         22.5         -50.060978
    -0.192214         -0.032147         -0.155867          26.12805         25.487806         -56.25
    -0.070372         -0.151694         -0.120592          26.707317         26.371952         -55.487804
    0.017726         -0.215496         -0.09452          21.859756         24.939026         -45.853661
    0.090157         -0.260483         -0.104327          19.268293         22.591463         -36.920734
    0.150837         -0.238855         -0.096548          27.439026         17.042683         -27.530489
    0.186685         -0.159053         -0.06923          33.75         8.323171         -13.689025
    0.205598         -0.050875         -0.051087          25.70122         -0.762195         0.182927
    0.19983         0.045824         -0.042432          4.878049         -7.408537         10.762196
    0.17627         0.071034         -0.031016          -15.945123         -11.95122         19.390244
    0.117969         0.10878         0.014445          -22.560976         -13.658537         25
    0.074454         0.112805         0.05179          -18.170732         -16.737804         26.341465
    0.038274         0.097862         0.060573          -9.085366         -20.152439         26.280489
    0.021635         0.062664         0.034591          0.213415         -23.414635         25.396341
    -0.014138         0.06517         0.063806          7.804878         -18.170732         22.987806
    -0.135138         0.157605         0.181318          15.457317         0.457317         12.591464
    -0.202837         0.168857         0.22357          12.073171         11.189025         -0.823171
    -0.163637         0.142313         0.138817          -0.182927         10.182927         -10.762196
    -0.156691         0.016194         0.015936          -8.597561         11.463415         -15.060976
    -0.183556         -0.024154         -0.04272          -5.030488         14.085366         -18.353659
    -0.179657         0.010559         -0.062301          9.664635         19.329269         -29.207317
    -0.129663         0.052197         -0.047302          23.262196         24.725611         -40.274391
    -0.045918         0.019883         -0.017138          27.012196         26.006098         -44.786587
    0.05057         -0.05675         0.012071          21.768293         26.432928         -44.542683
    0.1178         -0.149501         0.003016          11.158537         28.20122         -41.829269
    0.163381         -0.202023         -0.033915          1.615854         28.506098         -35.579269
    0.17465         -0.226658         -0.067757          -7.835366         27.713415         -25.762196
    0.163939         -0.207107         -0.104987          -18.871952         26.554878         -14.939025
    0.132323         -0.133459         -0.123638          -26.768293         22.957317         -4.634147
    0.077343         -0.034111         -0.130356          -32.347561         16.646341         5.030488
    0.034921         -0.010687         -0.132996          -39.847561         7.408537         14.45122
    0.00821         -0.004058         -0.156982          -45.670734         -3.04878         21.646341
    -0.006322         0.001832         -0.139258          -41.951221         -13.292684         24.085367
    -0.015605         0.03545         -0.048906          -25.213415         -22.530489         24.268293
    -0.009945         0.054727         0.051305          -4.176829         -32.042683         23.597561
    0.018997         0.103157         0.115262          15.853659         -35.975609         19.29878
    0.016174         0.186627         0.138499          37.164635         -29.939026         7.835366
    -0.005225         0.224692         0.180135          54.695122         -16.432928         -2.804878
    -0.072539         0.190887         0.251725          62.560978         2.896342         -9.237805
    -0.143383         0.101147         0.324427          55.914635         20.365854         -12.926829
    -0.16412         0.167636         0.167549          43.445122         29.573172         -24.725611
    -0.130906         0.148953         0.051227          38.445122         31.067074         -43.628048
    -0.121521         0.081857         -0.01976          25.54878         31.219513         -45.609756
    -0.113428         -0.01635         -0.070105          7.164634         32.682926         -46.768295
    -0.093282         -0.140228         -0.111358          -0.396341         33.475609         -50.853661
    -0.057242         -0.251245         -0.126781          3.292683         30.213415         -47.865856
    -0.009661         -0.296113         -0.119589          13.140244         27.652439         -40.975609
    0.034849         -0.275367         -0.125945          23.963415         24.45122         -30.487806
    0.063622         -0.183184         -0.106225          32.286587         17.865854         -17.682928
    0.100311         -0.081313         -0.079511          27.408537         9.146341         -4.695122
    0.142749         -0.028136         -0.068687          11.615854         2.22561         6.920732
    0.166152         0.013819         -0.05241          -2.134146         -4.72561         18.445122
    0.166711         0.04211         -0.022006          -12.012196         -12.134147         29.512196
    0.152509         0.047164         0.003098          -17.195122         -18.384148         37.439026
    0.152281         0.066638         0.049353          -15         -23.140244         41.981709
    0.129833         0.085146         0.098272          -7.530488         -22.439026         43.048782
    0.108163         0.131398         0.156742          2.926829         -19.847561         42.317074
    0.07989         0.15922         0.192972          8.75         -16.554878         40.670734
    0.043209         0.188314         0.188557          5.030488         -13.993903         38.231709
    -0.023441         0.185807         0.132877          -4.695122         -10.304878         34.237804
    -0.077737         0.139661         0.070169          -15.396342         -9.695122         29.29878
    -0.155744         0.11544         0.031526          -19.847561         -7.439024         20.670732
    -0.241392         0.103289         0.021705          -10.640244         -1.737805         4.847561
    -0.293309         0.09435         0.023614          8.689025         5.27439         -10.518293
    -0.266483         0.10341         0.003071          27.103659         11.341464         -25.487806
    -0.232913         0.122181         -0.036801          35.762196         17.835367         -40.487804
    -0.194534         0.093448         -0.057957          30.792685         20.975611         -51.189026
    -0.127307         -0.043601         -0.08035          14.573171         23.20122         -57.042683
    -0.03622         -0.198553         -0.120334          3.993902         25.335367         -59.939026
    0.062039         -0.288334         -0.110525          10.54878         24.695122         -58.231709
    0.131663         -0.267582         -0.078459          22.560976         22.073172         -49.237804
    0.188924         -0.222464         -0.068431          25.121952         19.29878         -38.201221
    0.227116         -0.181682         -0.080331          17.896341         16.097561         -26.554878
    0.219583         -0.141439         -0.082234          7.22561         12.195122         -13.414635
    0.190706         -0.111589         -0.093521          -4.390244         6.615854         0
    0.165455         -0.092982         -0.11095          -10.97561         -0.121951         10.579268
    0.131778         -0.037472         -0.068643          -8.47561         -5.365854         17.865854
    0.108157         0.036038         0.029851          -2.469512         -9.908537         23.810976
    0.075393         0.087229         0.127787          -4.969512         -12.896341         30.914635
    0.023595         0.075643         0.147738          -15.121952         -13.262196         38.140244
    -0.041475         0.053288         0.140456          -17.896341         -10.823171         41.981709
    -0.12068         0.094779         0.107872          -16.493902         -8.871951         44.664635
    -0.181896         0.129143         0.086298          -20.457317         -6.768293         44.481709
    -0.220126         0.150775         0.042476          -26.615854         -3.719512         39.542683
    -0.232351         0.138394         0.020504          -27.92683         -4.512195         32.134148
    -0.223576         0.101926         0.003122          -19.969513         -4.72561         23.75
    -0.217337         0.100486         -0.018791          0.670732         3.140244         12.317074
    -0.182854         0.200701         0.000006          28.384148         10.945122         -6.036585
    -0.076557         0.229116         -0.012105          40         13.170732         -23.20122
    0.000473         0.155168         -0.011051          36.128048         17.469513         -33.810978
    0.089636         0.029212         0.00737          31.371952         18.018293         -40.487804
    0.148662         -0.046747         0.019763          29.512196         17.92683         -47.804878
    0.211117         -0.125874         0.05292          32.225609         17.256098         -53.201221
    0.260886         -0.166325         0.071242          34.085365         16.585365         -51.829269
    0.267107         -0.191849         0.049572          28.810976         16.737804         -45.945122
    0.227162         -0.184143         0.017783          19.969513         17.042683         -37.164635
    0.162199         -0.134424         -0.009016          7.835366         15.70122         -26.829269
    0.0864         -0.085469         -0.057018          -9.481708         12.652439         -15.914635
    0.014042         -0.029508         -0.092684          -22.987806         9.359756         -5.54878
    -0.043845         0.031081         -0.085085          -29.45122         5.365854         4.115854
    -0.077068         0.039904         -0.057521          -29.725611         2.560976         9.969512
    -0.142123         0.004775         -0.049337          -25.182928         -1.219512         13.445123
    -0.155105         -0.114149         -0.023259          -27.042683         -9.207317         18.353659
    -0.218615         0.000673         0.002291          -20.823172         0.426829         8.963415
    -0.210439         0.093703         0.004177          5.304878         16.006098         -20.121952
    -0.153507         0.181603         -0.00369          33.536587         21.432928         -34.7561
    -0.134329         0.231415         -0.012132          40.548782         24.29878         -38.140244
    -0.110393         0.188062         -0.041541          19.908537         23.719513         -40.945122
    -0.046127         0.02584         -0.028545          -12.682927         20.457317         -41.341465
    0.039661         -0.190266         -0.016586          -34.634148         18.810976         -38.567074
    0.09169         -0.259439         0.01095          -33.170731         15.853659         -31.79878
    0.090149         -0.231965         0.007783          -19.786587         12.256098         -23.384148
    0.089502         -0.166432         0.020484          -12.073171         7.804878         -13.719513
    0.073554         -0.069083         0.00252          -22.713415         4.969512         -0.70122
    0.035406         -0.056633         -0.096031          -38.628048         3.871951         5.823171
    -0.003902         0.000592         -0.094793          -27.042683         4.573171         2.012195
    0.01973         0.085239         -0.003569          -6.310976         1.554878         -2.591464
    0.046448         0.071902         0.037965          -2.621951         0.121951         -2.378049
    0.036768         0.060256         0.058888          -4.29878         1.158537         -1.707317
    0.019844         0.045666         0.060391          -8.04878         1.920732         -1.006098
    -0.000726         0.014658         0.043821          -14.146341         3.658537         -1.128049
    -0.008589         -0.015618         0.020213          -17.835367         5.182927         -2.195122
    -0.013902         -0.03515         -0.011564          -17.37805         5.426829         -2.042683
    -0.016005         -0.037886         -0.014525          -13.75         4.481708         -1.371951
    -0.02003         -0.031285         -0.019042          -9.481708         3.689024         -1.219512
    -0.022079         -0.014872         -0.017382          -5.609756         2.22561         -0.670732
    -0.022155         -0.002327         -0.013124          -1.067073         0.945122         -0.457317
    -0.011279         0.012201         -0.002882          3.506098         -0.823171         -0.152439
    -0.00414         0.022065         0.007655          5.579268         -1.554878         -0.213415
    0.006063         0.025465         0.013546          4.115854         -1.585366         -0.457317
    0.011295         0.016075         0.009079          0.731707         -1.402439         -0.457317
    0.007279         0.006805         -0.002112          -1.859756         -0.884146         -0.27439
    0.006409         -0.012915         -0.004033          -2.987805         -0.670732         -0.304878
    0.00044         -0.011699         -0.009867          -2.530488         -0.304878         -0.213415
    0.006406         -0.017172         -0.013558          -0.97561         -0.091463         -0.457317
    0.007273         -0.008074         -0.016901          0.670732         0.396341         -0.335366
    0.010116         0.005455         -0.010591          1.768293         0.762195         -0.70122
    0.008093         0.014716         -0.001832          1.829268         0.914634         -1.128049
    0.002372         0.018609         0.0083          0.609756         0.945122         -1.036585
    -0.003375         0.009027         0.012499          -1.371951         0.487805         -1.25
    -0.001724         -0.000981         0.008632          -3.353659         0.060976         -1.189024
    0.000574         -0.008012         0.011398          -4.115854         0.457317         -1.646342
    -0.000322         -0.014417         0.002282          -3.567073         0.579268         -1.463415
    -0.002211         -0.013682         -0.005401          -1.493902         0.609756         -0.884146
    -0.000401         -0.007625         0.001343          0.97561         0.487805         -0.548781
    0.003585         0.007767         -0.000292          1.676829         0.670732         -0.518293
    -0.002601         0.012854         -0.003945          0.762195         0.487805         -0.27439
    -0.002666         0.006572         -0.004914          -0.823171         0.487805         -0.579268
    0.000992         -0.006851         -0.007251          -1.707317         0.548781         -1.036585
    0.00509         -0.011536         -0.001895          -0.518293         0.548781         -1.067073
    0.001338         -0.00669         0.001023          1.189024         0.670732         -0.70122
    -0.002836         0.009101         0.005115          1.768293         0.762195         -0.487805
    -0.002855         0.013531         0.001163          0.640244         1.067073         -0.853659
    -0.002284         0.01434         -0.000828          -0.640244         1.128049         -1.006098
    -0.00046         0.008933         0.001096          -1.981707         1.006098         -0.914634
    0.00139         -0.002619         0.002048          -3.170732         0.97561         -1.097561
    -0.00299         -0.003072         0.000467          -3.04878         0.853659         -1.036585
    0.00464         -0.009489         -0.005095          -3.079268         0.640244         -0.365854
    0.00293         -0.004857         -0.004467          -3.902439         0.853659         0.213415
    -0.001171         -0.00662         -0.003769          -5.030488         1.341463         -0.304878
    -0.004843         -0.006858         -0.005359          -5.030488         1.432927         -0.609756
    -0.004265         -0.009002         -0.005068          -3.567073         0.97561         -0.884146
    0.002252         -0.004272         0.006883          -1.737805         0.762195         -1.067073
    0.001801         -0.003418         0.007069          -0.762195         0.853659         -0.97561
    0.001246         0.003711         0.007999          -0.70122         0.70122         -0.853659
    -0.000761         0.008828         0.002493          -1.768293         0.548781         -0.823171
    -0.001976         0.004524         0.001799          -3.140244         0.792683         -0.853659
    0.000568         0.004595         0.001439          -4.02439         0.853659         -1.097561
    -0.000913         -0.001207         -0.000997          -5.243903         0.853659         -1.006098
    0.005715         -0.009754         -0.006267          -6.432927         1.006098         -0.945122
    0.003986         -0.013467         -0.005794          -5.914634         1.280488         -1.006098
    0.00065         -0.011555         -0.006784          -4.115854         1.128049         -0.945122
    -0.001629         -0.004947         -0.008357          -3.536585         1.036585         -0.670732
    -0.0056         0.001511         -0.00649          -4.115854         1.493902         -1.158537
    -0.000183         -0.001916         -0.009098          -4.664634         1.554878         -1.280488
    0.00044         -0.001142         -0.004935          -4.420732         1.585366         -1.036585
    0.001914         -0.002281         -0.001214          -4.390244         1.402439         -1.219512
    -0.000812         -0.000067         -0.000385          -4.634147         1.310976         -1.189024
    -0.005142         -0.000054         0.000278          -5.27439         1.219512         -1.036585
    -0.006848         -0.001605         0.001199          -6.402439         1.189024         -1.280488
    -0.002549         -0.012026         -0.002361          -7.682927         1.280488         -1.52439
    -0.002039         -0.01177         -0.011069          -8.018292         1.341463         -1.219512
    0.001298         -0.011369         -0.010027          -7.286585         1.432927         -1.280488
    0.002797         -0.003822         -0.012709          -5.579268         1.463415         -1.554878
    0.004581         0.003974         -0.009972          -4.02439         1.189024         -1.432927
