      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    -0.282227         -0.484961         0.561719          null         null         null
    -0.226953         -0.387188         0.445664          null         null         null
    -0.182539         -0.310922         0.332898          null         null         null
    -0.132555         -0.274128         0.273936          null         null         null
    -0.130458         -0.201529         0.22911          null         null         null
    -0.095187         -0.145208         0.190124          6.097561         -2.347561         1.890244
    -0.080056         -0.113822         0.156591          5         -1.432927         0.243902
    -0.063068         -0.093792         0.128007          3.719512         -0.670732         -0.731707
    -0.051626         -0.086557         0.099086          1.95122         -0.152439         -0.365854
    -0.035246         -0.079793         0.077511          2.195122         0.243902         -0.487805
    -0.028978         -0.06149         0.065329          3.597561         0.823171         -0.853659
    -0.022987         -0.046067         0.048747          4.756098         0.823171         -0.70122
    -0.01878         -0.024549         0.047787          5.060976         0.487805         -0.609756
    -0.01522         -0.024717         0.032956          3.658537         -0.396341         0.152439
    -0.016082         -0.009422         0.024607          4.420732         -0.792683         0.030488
    -0.014037         0.001837         0.030232          5.304878         -1.036585         -0.792683
    -0.013378         -0.004976         0.0236          3.780488         -1.829268         -0.945122
    -0.006796         -0.010816         0.017122          3.871951         -2.22561         -1.493902
    0.003157         -0.002013         0.028346          4.817073         -2.256098         -1.95122
    0.001158         -0.010399         0.018966          3.780488         -2.469512         -0.243902
    0.001708         -0.000507         0.00697          4.664634         -2.682927         0.670732
    0.00371         0.008579         0.016904          6.890244         -2.530488         -0.396341
    0.009804         0.009988         0.034031          7.5         -2.469512         -0.457317
    0.018976         -0.000408         0.047733          6.371952         -2.469512         0.304878
    0.027485         0.00065         0.052053          5.884147         -2.195122         1.920732
    0.02609         0.003255         0.045353          5.518293         -1.95122         3.231707
    0.036302         0.017057         0.022611          4.939024         -2.286585         2.682927
    0.02201         0.00427         0.008714          7.195122         -0.762195         0.945122
    -0.008954         -0.012404         -0.006896          14.847561         2.164634         0.335366
    -0.028843         -0.03297         -0.008056          28.75         4.634147         -2.012195
    -0.0512         0.014054         -0.052539          49.695122         7.621952         -8.292683
    -0.042717         0.076477         -0.002187          72.591469         11.615854         -20.823172
    -0.07558         0.107862         -0.010734          81.402443         18.658537         -23.109756
    -0.074722         0.118125         -0.036126          88.231712         17.012196         -27.560976
    -0.081848         0.162469         0.055865          86.646347         14.29878         -33.292683
    -0.092822         0.087006         0.075746          49.7561         12.286586         -31.920732
    -0.069375         -0.087231         -0.001903          5.213415         8.628049         -29.542685
    -0.038117         -0.195566         -0.069296          -12.713415         2.926829         -23.567074
    0.002319         -0.204695         -0.108562          -12.22561         -2.713415         -15.182927
    0.038769         -0.160631         -0.141927          -4.359756         -6.707317         -7.926829
    0.078867         -0.085341         -0.120769          13.109756         -11.402439         1.676829
    0.099422         0.011415         -0.026888          30.243904         -19.054878         8.902439
    0.142819         0.07339         0.069896          37.5         -31.12805         -6.615854
    0.27656         0.116524         0.197518          39.329269         -35.518295         -13.323171
    0.216755         0.169196         0.213874          12.591464         -26.432928         35.152439
    0.160514         0.143365         0.148833          -26.371952         -22.469513         66.524391
    0.155169         0.141449         0.14895          -48.262196         -20.975611         60.365856
    0.151088         -0.021801         0.036347          -63.292683         -25.030489         45.457317
