      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.022656         -0.552734         0.562305          null         null         null
    0.024766         -0.450195         0.444961          null         null         null
    0.02118         -0.362695         0.363977          null         null         null
    0.018897         -0.285273         0.290595          null         null         null
    0.019219         -0.239937         0.222906          null         null         null
    0.01225         -0.183161         0.182231          null         null         null
    0.006089         -0.142427         0.157504          null         null         null
    0.00702         -0.11902         0.11819          0.853659         -1.95122         0.548781
    0.00503         -0.100294         0.097873          -0.396341         -0.792683         -0.579268
    0.00754         -0.069688         0.074978          1.646342         -0.914634         -1.737805
    0.006813         -0.047743         0.063303          3.506098         -0.609756         -2.164634
    0.007013         -0.040147         0.05572          2.073171         -0.243902         -1.768293
    0.000142         -0.034462         0.040475          -0.792683         -0.152439         -1.676829
    0.009488         -0.04378         0.026716          -2.073171         -1.158537         -1.554878
    0.007591         -0.032095         0.022544          -0.243902         -1.036585         -0.731707
    0.009002         -0.014543         0.02116          0.945122         -0.243902         -1.036585
    0.00271         -0.01183         0.01771          -0.396341         0.030488         -0.670732
    -0.001543         -0.015128         0.011043          -1.859756         -0.091463         -0.518293
    0.003258         -0.017766         0.00649          -1.646342         -0.426829         -0.97561
    0.009051         -0.016166         0.014958          0.609756         -0.182927         -0.945122
    0.002944         -0.002581         0.018412          1.737805         0.731707         -0.823171
    -0.002918         0.000279         0.015315          0.853659         0.853659         -0.640244
    -0.008194         0.000809         0.008737          -0.426829         1.189024         -0.426829
    -0.000696         -0.002868         -0.000433          -1.067073         1.067073         -0.792683
    -0.003291         -0.008349         -0.000541          -0.823171         1.402439         -0.792683
    0.002445         -0.009804         -0.002386          -0.670732         1.310976         -0.609756
    0.002347         -0.01175         -0.007378          -0.70122         0.884146         -0.396341
    0.000315         -0.004517         -0.005121          -0.182927         0.853659         -0.792683
    0.000643         0.000488         0.003325          0.70122         1.067073         -0.518293
    -0.004564         0.005859         0.004809          -0.091463         0.731707         0.304878
    -0.004628         0.003711         -0.002208          -0.97561         0.670732         0
    0.001962         0.003945         -0.002157          -0.182927         0.762195         0
    -0.002141         0.006867         -0.000163          0.121951         1.25         -0.304878
    -0.004448         0.003541         -0.004037          -0.731707         1.432927         -0.182927
    0.000739         -0.000683         -0.003815          -0.823171         1.493902         -0.182927
    -0.000385         0.000039         -0.00188          -0.243902         1.402439         -0.304878
    -0.000308         0.001203         -0.00209          -0.487805         1.036585         -0.27439
    0.00073         0.000572         -0.001867          -0.823171         1.036585         -0.396341
    -0.005471         0.002216         -0.001299          -0.945122         1.158537         -0.548781
    -0.001838         -0.000376         -0.00143          -0.518293         0.823171         -0.945122
    -0.000298         0.004777         -0.003878          -0.091463         0.70122         -0.853659
    -0.002387         0.004017         -0.001345          -0.70122         0.609756         -0.853659
    -0.002886         -0.004403         -0.000685          -1.402439         0.152439         -1.189024
    -0.000356         -0.004304         0.00414          -0.792683         -0.426829         -1.676829
    0.001668         -0.004029         0.00839          -0.152439         -0.640244         -1.768293
    0.002897         -0.002637         0.006712          -0.365854         -0.396341         -1.463415
    0.000365         0.003164         0.003416          -0.548781         0         -1.280488
    0.003221         0.006437         -0.001369          -0.823171         -0.030488         -1.52439
