      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    -0.011719         -0.600586         0.522852          null         null         null
    -0.005859         -0.478125         0.427266          null         null         null
    -0.004492         -0.386602         0.340445          null         null         null
    -0.001836         -0.306156         0.266692          null         null         null
    -0.007914         -0.238675         0.214526          null         null         null
    -0.002034         -0.18469         0.164589          1.402439         -0.640244         1.067073
    -0.001042         -0.153611         0.1305          -1.341463         0.487805         -1.189024
    0.00444         -0.13578         0.105572          -1.676829         0.27439         -0.97561
    0.003552         -0.104327         0.095004          0.426829         0.030488         -0.731707
    -0.006533         -0.076626         0.078152          0.152439         -0.182927         -0.518293
    -0.005031         -0.066379         0.055685          -2.195122         -0.243902         -0.304878
    -0.003048         -0.055837         0.042986          -2.378049         0.579268         -0.792683
    -0.001072         -0.042131         0.034193          -1.158537         0.823171         -0.548781
    -0.001053         -0.035072         0.028722          -1.189024         0.548781         -0.243902
    -0.000842         -0.032354         0.023759          -0.731707         0.304878         -0.365854
    -0.004189         -0.019438         0.025257          1.036585         0.152439         -0.182927
    0.001141         -0.010472         0.023721          0.396341         0.152439         -0.243902
    0.00228         -0.014433         0.013313          -1.493902         0.27439         -0.243902
    0.002019         -0.016819         0.003814          -1.554878         0.182927         -0.091463
    0.000834         -0.01326         0.004028          -0.213415         0.457317         -0.182927
    -0.003239         -0.001429         0.005176          1.036585         -0.030488         -0.213415
    0.002487         0.002763         0.008047          1.128049         0.152439         -0.426829
    0.002771         0.004945         0.004289          0.457317         0.579268         -0.670732
    0.000654         0.003175         0.000892          -0.731707         1.219512         -0.762195
    -0.005531         -0.006054         -0.010419          -1.95122         1.25         -0.792683
    0.000848         -0.016952         -0.009507          -1.737805         0.182927         -0.640244
    -0.001274         -0.012781         -0.002137          0.304878         -0.97561         -0.213415
    0.004644         -0.002217         0.008642          1.493902         -1.25         -0.70122
    0.001762         0.002719         0.012382          1.646342         -0.365854         -0.518293
    0.003363         0.011159         0.012445          1.341463         1.006098         -0.792683
    -0.002974         0.014982         0.001753          -0.487805         1.585366         -0.335366
    -0.00316         0.006712         -0.00602          -2.957317         1.432927         -0.579268
    -0.00038         -0.004591         -0.010089          -2.408537         1.006098         -0.670732
    0.004579         -0.005626         0.000132          -0.823171         0.457317         -0.884146
    0.002687         -0.005868         -0.001262          -0.060976         0         -1.280488
    0.002931         -0.003132         0.008366          0.762195         0.304878         -1.615854
    -0.004101         0.001987         0.009622          -0.121951         0.487805         -0.823171
    -0.002695         -0.00427         0.00301          -1.859756         -0.121951         -0.70122
    -0.00157         -0.006346         -0.004818          -1.707317         -0.304878         -0.335366
    -0.001842         -0.004295         -0.005222          -1.219512         0.518293         -0.487805
    -0.002059         -0.008124         -0.004959          -0.731707         1.341463         -0.792683
    -0.002233         0.001314         -0.004553          0.609756         1.097561         -0.731707
    -0.00081         0.007106         -0.005596          0.396341         0.640244         -0.609756
    -0.003968         0.000802         -0.006234          -1.067073         -0.060976         -0.457317
    -0.001808         -0.004241         -0.00362          -1.25         -0.945122         -0.731707
    0.006757         -0.001831         0.002573          0.213415         -1.859756         -0.823171
    0.003257         0.003614         0.005183          0.945122         -1.493902         -0.518293
