      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    -0.074219         -0.615039         0.503516          null         null         null
    -0.060742         -0.48793         0.415117          null         null         null
    -0.048203         -0.387219         0.334438          null         null         null
    -0.037977         -0.30665         0.268331          null         null         null
    -0.026475         -0.241023         0.211345          null         null         null
    -0.006727         -0.198873         0.15931          2.134146         0.518293         2.804878
    -0.008116         -0.16613         0.129206          -0.487805         1.280488         -0.823171
    -0.014696         -0.139544         0.101998          0.091463         1.493902         -0.152439
    -0.015858         -0.106557         0.084332          0.823171         1.25         -0.426829
    -0.010148         -0.079387         0.07313          -0.426829         0.487805         -1.280488
    -0.007727         -0.05472         0.058113          -2.012195         0.457317         -1.646342
    -0.001104         -0.037917         0.042585          -3.567073         0.640244         -1.615854
    -0.001274         -0.039122         0.0327          -5.030488         0.823171         -1.036585
    -0.002581         -0.040673         0.024598          -4.817073         1.402439         -1.097561
    0.003404         -0.046015         0.018897          -3.353659         1.310976         -0.030488
    -0.006457         -0.038765         0.007305          -1.554878         1.158537         0.945122
    -0.006533         -0.026325         0.004867          0.426829         1.097561         0.670732
    -0.00796         -0.006607         0.00741          1.981707         0.914634         0.121951
    -0.006368         0.00116         0.00749          1.981707         0.457317         -0.304878
    -0.003532         -0.002588         0.009117          1.067073         -0.365854         -0.70122
    -0.002045         -0.006953         0.017255          0.609756         -0.762195         -1.097561
    0.00188         -0.010054         0.011069          0.365854         -0.731707         -1.554878
    0.001113         -0.008239         0.000848          0.304878         -0.579268         -0.914634
    0.000695         -0.003075         -0.003033          0.97561         -0.884146         -0.579268
    0.001142         0.00086         -0.000082          1.463415         -0.884146         -1.036585
    0.009898         0.000688         0.008918          1.554878         -1.036585         -0.762195
    0.011434         0.002113         0.012408          1.189024         -0.579268         -0.396341
    0.00778         -0.000458         -0.00062          0.640244         -0.365854         0.548781
    -0.000612         -0.001929         -0.002449          0.304878         0.030488         1.006098
    -0.002833         0.001191         -0.000397          0.487805         0.579268         -0.518293
    -0.005001         -0.005688         0.000464          0.518293         0.27439         -0.70122
    -0.000094         -0.007675         -0.001778          1.097561         0.27439         -0.304878
    -0.000076         0.003626         0.002484          1.890244         0.457317         -0.579268
    -0.002014         0.006807         -0.000552          2.103659         0.548781         -0.762195
    -0.006103         0.001734         -0.003371          2.22561         0.121951         -0.609756
    -0.008007         -0.003495         0.006678          2.134146         0.152439         -0.823171
    -0.003476         -0.005335         0.002413          1.890244         -0.030488         -1.189024
    0.001906         -0.000948         0.001149          2.469512         -0.487805         -1.52439
    -0.001209         0.006859         0.009318          3.04878         -0.792683         -1.615854
    -0.001358         0.006073         0.012728          2.134146         -1.371951         -1.493902
    -0.006555         -0.000806         0.005495          1.615854         -1.158537         -0.853659
    -0.006807         -0.000254         0.002833          2.652439         -1.036585         -0.182927
    0.000023         0.002531         0.002852          3.170732         -1.585366         -0.609756
    0.001777         0.006517         0.007946          3.079268         -1.52439         -0.396341
    0.004937         0.0058         0.003622          3.04878         -1.798781         -0.609756
    0.00434         -0.000438         -0.006477          3.536585         -1.95122         -0.548781
    0.006988         -0.007382         -0.020025          4.847561         -2.012195         -0.27439
