      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    -0.190625         -0.650391         0.41875          null         null         null
    -0.153672         -0.519336         0.339492          null         null         null
    -0.121961         -0.417031         0.275695          null         null         null
    -0.100108         -0.333039         0.220361          null         null         null
    -0.080282         -0.263697         0.183125          null         null         null
    -0.060124         -0.206661         0.150601          null         null         null
    -0.04556         -0.163961         0.114622          null         null         null
    -0.032346         -0.132927         0.085252          null         null         null
    -0.026854         -0.109076         0.065858          null         null         null
    -0.029881         -0.091753         0.051124          3.628049         -0.27439         1.676829
    -0.026249         -0.063441         0.04461          3.47561         -0.762195         -2.256098
    -0.021976         -0.050167         0.041547          4.237805         -1.310976         -2.256098
    -0.011916         -0.041306         0.037925          4.146341         -1.890244         -2.378049
    -0.007189         -0.032263         0.0362          2.987805         -1.859756         -2.682927
    -0.003798         -0.023662         0.021343          1.371951         -1.829268         -2.317073
    -0.003625         -0.019516         0.015316          0.457317         -1.371951         -1.189024
    -0.003876         -0.017566         0.005026          0.121951         -1.219512         -0.518293
    -0.003492         -0.021084         0.004802          0.27439         -1.006098         -0.853659
    -0.00045         -0.019015         0.001303          1.280488         -0.70122         -0.70122
    0.001203         -0.017361         -0.00013          2.408537         -0.640244         -0.884146
    -0.00021         -0.013498         0.003607          3.445122         -0.884146         -0.670732
    -0.004074         -0.006892         0.004839          4.45122         -1.219512         -0.518293
    -0.001892         -0.000631         0.005824          5.182927         -1.52439         -0.823171
    -0.004834         0.000862         0.005831          5.518293         -1.402439         -0.884146
    -0.006406         -0.001068         0.003103          5.670732         -1.189024         -1.280488
    -0.010594         0.00188         0.003654          5.823171         -0.762195         -1.432927
    -0.021951         -0.002207         -0.004303          5.609756         -0.518293         -1.371951
    -0.022053         -0.01368         -0.012818          6.25         -0.457317         -1.768293
    -0.005533         -0.014459         -0.013379          8.810976         0.060976         -1.768293
    0.0153         -0.005513         -0.006211          12.591464         -0.304878         -1.890244
    0.031966         0.002035         0.003039          17.317074         -1.128049         -1.798781
    0.050378         0.009245         0.021572          21.67683         -2.560976         -0.518293
    0.061787         0.010521         0.03464          25         -4.02439         0.823171
    0.075406         -0.005646         0.033572          27.5         -5.030488         3.841464
    0.081418         -0.019946         0.029201          29.87805         -6.219512         7.713415
    0.093455         -0.042519         0.028634          33.628048         -9.542684         7.164634
    0.08453         -0.017414         0.0649          40.274391         -13.597561         10.152439
    0.063522         0.041733         0.08981          41.859756         -18.536587         13.262196
    0.019958         0.105066         0.129661          37.5         -21.737806         14.573171
    0.010498         0.130342         0.153143          29.29878         -23.841463         15.762196
    0.028125         0.159352         0.192045          17.225611         -27.134148         13.445123
    -0.073398         0.157169         0.132738          1.707317         -24.29878         8.292683
    -0.11243         0.058743         0.076308          -10.487805         -21.890244         4.908537
    -0.214163         0.044065         0.029601          -14.054878         -11.79878         -2.408537
    -0.204338         0.065135         -0.002882          -6.189024         0.030488         -19.847561
    -0.213275         0.079647         -0.06129          10.640244         13.536586         -35.060978
    -0.21144         0.101022         -0.080477          28.841465         22.439026         -45.457317
    -0.182629         0.068904         -0.081765          34.451221         28.506098         -52.317074
    -0.133994         0.012154         -0.075177          23.536587         32.347561         -54.481709
