      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    -0.155078         -0.595898         0.507812          null         null         null
    -0.126602         -0.475938         0.409766          null         null         null
    -0.104797         -0.380164         0.327422          null         null         null
    -0.087744         -0.297881         0.256273          3.353659         -1.463415         0.609756
    -0.066289         -0.235766         0.211464          3.018293         -0.70122         -1.981707
    -0.049515         -0.190175         0.167023          2.77439         -0.518293         -1.920732
    -0.03219         -0.150187         0.139282          3.47561         -0.213415         -1.615854
    -0.023409         -0.121126         0.113184          3.262195         0.121951         -1.310976
    -0.020289         -0.099245         0.089961          2.865854         0.457317         -0.945122
    -0.018966         -0.077443         0.070602          2.835366         0.426829         -0.792683
    -0.015368         -0.059415         0.05863          2.743902         0.27439         -0.792683
    -0.013466         -0.051243         0.042021          1.95122         -0.030488         -0.487805
    -0.008039         -0.040799         0.033421          2.987805         -0.243902         -0.731707
    -0.006626         -0.023655         0.037284          5.060976         0.030488         -0.914634
    -0.009207         -0.020291         0.033733          4.542683         0         -0.70122
    -0.009319         -0.015256         0.030893          3.536585         -0.060976         -0.731707
    -0.014682         -0.012791         0.022175          2.530488         -0.213415         -1.067073
    -0.007644         -0.015115         0.016568          1.310976         -0.762195         -1.768293
    -0.005334         -0.015217         0.007395          0.579268         -1.036585         -1.798781
    -0.002705         -0.011979         0.003963          0.884146         -1.158537         -1.158537
    -0.007242         -0.011536         -0.00054          2.22561         -1.341463         -1.036585
    -0.010676         -0.005127         0.011872          3.597561         -1.432927         -1.341463
    -0.013424         -0.013086         0.011842          4.02439         -1.615854         -1.615854
    -0.012106         -0.008125         0.018262          4.939024         -1.615854         -1.768293
    -0.010076         0.007953         0.013243          3.902439         -1.493902         -1.859756
    -0.006107         0.01105         0.000243          2.439024         -2.073171         -2.012195
    0.003317         0.019582         -0.011134          0.853659         -3.04878         -2.286585
    -0.000667         0.016447         -0.029415          -0.487805         -3.902439         -0.731707
    0.033646         -0.016921         -0.017282          -1.158537         -5.884147         -0.670732
    0.02555         -0.035411         -0.010896          2.012195         -4.847561         0.152439
    0.018682         -0.015829         0.00515          7.865854         -3.932927         0.304878
    0.018071         0.000032         0.009198          11.79878         -2.530488         1.036585
    0.002738         0.017994         0.012632          13.506098         -1.067073         0.457317
    -0.00113         0.032364         0.00659          11.95122         -0.487805         -0.640244
    0.008471         0.01886         -0.001369          9.634147         -0.457317         -1.036585
    0.024746         -0.008545         -0.013009          11.25         -0.426829         -0.945122
    0.05339         -0.025976         -0.011384          17.743902         -0.670732         -0.243902
    0.085095         -0.037773         -0.011646          26.585367         -1.463415         1.097561
    0.085459         -0.039398         -0.00834          38.170734         -3.04878         4.176829
    0.083211         -0.022144         0.019109          49.847561         -5.853659         9.420732
    0.078873         -0.009707         0.038529          53.567074         -9.695122         14.512196
    0.094935         -0.002102         0.042933          53.719513         -13.018293         18.719513
    0.080635         0.036014         0.044503          54.725613         -14.420732         23.567074
    0.045953         0.085647         0.056305          54.115856         -16.768293         29.573172
    -0.030229         0.112854         0.07395          46.524391         -17.164635         35.487804
    -0.118519         0.134619         0.09041          32.469513         -19.146341         38.170734
    -0.211808         0.157695         0.09518          4.329268         -21.524391         38.658539
