      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z




    -0.002107         -0.019537         0.022034          8.597561         -3.292683         -8.75
    -0.005201         -0.017192         0.022706          9.908537         -4.573171         -7.987805
    -0.007872         -0.004184         0.021875          10.70122         -5.426829         -7.804878
    -0.006102         0.00095         0.021993          11.402439         -5.97561         -8.231708
    -0.003124         0.002713         0.018375          10.396341         -6.615854         -7.987805
    -0.006601         -0.01072         0.014505          8.75         -7.073171         -7.286585
    -0.003913         -0.01092         0.003791          9.512196         -6.890244         -7.591464
    0.009565         -0.003462         0.012603          11.79878         -6.707317         -8.567074
    0.018199         -0.000036         0.007544          13.689025         -7.195122         -8.47561
    0.032332         0.00505         0.00584          15         -7.835366         -7.957317
    0.042272         0.006969         0.007992          15.487805         -7.591464         -7.286585
    0.05413         0.001474         0.01362          15.945123         -7.865854         -6.128049
    0.069281         -0.006633         0.015584          17.256098         -8.292683         -4.02439
    0.087456         -0.031088         0.016178          20.121952         -8.902439         -0.70122
    0.105902         -0.05612         0.015091          24.664635         -9.146341         4.542683
    0.119292         -0.062865         0.010705          31.615854         -10         10.609756
    0.103246         -0.034081         0.020674          42.317074         -11.067074         16.067074
    0.094316         -0.03039         0.034312          51.189026         -13.597561         21.097561
    0.093421         0.057133         0.065341          49.481709         -17.560976         27.957317
    0.034893         0.067191         0.076101          42.164635         -14.939025         35.640244
    -0.038687         0.211956         0.08881          26.737806         -21.280489         38.871952
    -0.166692         0.144955         0.039407          -2.621951         -18.75         37.92683
    -0.27808         0.052683         -0.024724          -21.859756         -15.640244         42.2561
    -0.281058         0.057967         -0.02017          -14.786586         -17.469513         37.621952
    -0.258245         0.094616         0.019216          3.902439         -12.286586         22.957317
    -0.250346         0.10831         0.046037          20.030489         -3.993902         10.487805
    -0.213753         0.12864         0.036634          28.475611         -0.609756         0.457317
    -0.138776         0.11092         0.01544          29.390245         1.158537         -9.146341
    -0.049302         0.083658         -0.008742          26.554878         6.128049         -18.932928
    0.022277         0.073762         -0.02965          28.170732         13.323171         -29.024391
    0.133642         0.067408         0.022569          29.756098         17.286585         -39.481709
    0.22957         -0.016777         0.02997          22.134148         19.329269         -44.7561
    0.296742         -0.172015         0.025343          18.04878         16.524391         -39.908539
    0.317276         -0.222378         0.059141          21.859756         12.317074         -30.945122
    0.311634         -0.162668         0.084227          20.762196         7.22561         -24.237806
    0.267666         -0.084236         0.06621          5.213415         1.95122         -15.091464
    0.181906         -0.054693         -0.013634          -19.237804         -0.884146         -0.335366
    0.105877         -0.046489         -0.067743          -34.847561         -4.237805         15.091464
    0.0431         -0.034847         -0.075288          -34.664635         -6.79878         25.914635
    -0.017864         0.002395         -0.030348          -21.463415         -7.865854         31.463415
    -0.140072         0.074573         -0.000645          -6.920732         -8.445122         35.182926
    -0.302292         0.069228         -0.00286          -8.628049         -7.896342         39.695122
    -0.415271         0.021398         -0.014202          -31.707317         -8.323171         42.865856
    -0.404483         -0.0071         -0.080112          -53.536587         -5.609756         29.847561
    -0.284719         -0.024039         -0.137527          -45.640244         1.097561         4.72561
    -0.196135         0.05694         -0.118225          -11.006098         6.829268         -10.304878
