      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    -0.003906         -0.536523         0.578906          null         null         null
    0.003906         -0.430977         0.469961          null         null         null
    0.001172         -0.342828         0.381047          null         null         null
    -0.002188         -0.262739         0.305423          null         null         null
    -0.007609         -0.213707         0.241409          2.896342         -0.762195         -0.853659
    -0.007845         -0.170575         0.190784          2.012195         -0.396341         -1.676829
    -0.005886         -0.137632         0.158877          3.04878         -0.70122         -1.280488
    -0.000998         -0.106785         0.138039          4.390244         -0.457317         -1.52439
    -0.005681         -0.083084         0.120197          4.115854         -0.243902         -1.463415
    -0.006498         -0.069397         0.092446          2.073171         -0.27439         -1.280488
    -0.003636         -0.051416         0.064582          1.371951         -0.609756         -1.585366
    -0.003885         -0.037227         0.052252          1.829268         -0.426829         -1.554878
    -0.002522         -0.033883         0.041606          1.006098         -0.121951         -2.042683
    0.002084         -0.031403         0.027621          0.579268         0.121951         -2.286585
    0.003034         -0.028052         0.016823          0.914634         0.426829         -2.22561
    0.00399         -0.021856         0.016583          1.615854         0.640244         -2.103659
    0.003778         -0.01143         0.017368          2.347561         0.914634         -1.920732
    0.005171         -0.003285         0.020731          2.042683         0.853659         -1.798781
    0.000035         -0.001846         0.018342          0.914634         1.067073         -2.012195
    0.0012         -0.008508         0.010377          0.152439         0.97561         -1.981707
    0.001351         -0.00544         0.008497          0.182927         1.219512         -2.103659
    0.004596         -0.005719         0.004844          0.030488         1.280488         -1.859756
    -0.002768         -0.003013         0.006415          -0.27439         1.402439         -1.585366
    -0.002605         -0.003387         0.009038          0.030488         1.402439         -1.585366
    -0.002475         -0.003686         0.005082          0.243902         1.371951         -1.493902
    -0.000222         -0.0008         -0.001208          0.426829         0.945122         -1.493902
    0.000604         -0.00025         0.004307          0.213415         0.670732         -1.493902
    0.001655         -0.002739         0.004032          0.457317         0.365854         -1.585366
    -0.000825         0.001715         0.004397          1.52439         0.091463         -1.646342
    -0.000855         0.00313         0.007815          0.914634         0.121951         -1.646342
    -0.000489         -0.00023         0.001174          -0.487805         -0.152439         -1.493902
    0.000195         0.000206         -0.001405          -0.609756         -0.243902         -1.676829
    -0.001797         0.002118         -0.000538          -0.213415         -0.182927         -1.554878
    -0.000266         -0.003579         -0.003165          -0.70122         -0.27439         -1.676829
    0.004865         -0.004035         -0.001165          -0.640244         -0.243902         -1.707317
    0.00233         -0.000494         -0.001127          -0.579268         -0.091463         -1.280488
    0.00577         -0.001957         -0.002659          -0.640244         -0.243902         -1.189024
    0.005202         -0.002738         -0.002128          -0.091463         -0.335366         -0.853659
    -0.000721         -0.002581         -0.002874          0.853659         -0.335366         -0.70122
    0.00079         0.001256         0.002974          1.280488         -0.335366         -0.762195
    -0.000735         0.002762         -0.001136          0.823171         -0.152439         -0.426829
    0.000975         0.004749         -0.004815          0.121951         -0.152439         -0.579268
    0.002147         0.005557         -0.001899          0.152439         -0.030488         -0.579268
    0.000936         0.000735         0.002582          0.457317         0.243902         -0.396341
    0.002702         -0.002342         0.002456          0.853659         0.365854         -0.457317
    0.001576         -0.003827         0.006653          1.189024         0.243902         -0.426829
    -0.001669         -0.000913         0.00376          1.067073         0.121951         -0.426829
