      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    -0.085742         -0.537109         0.586133          null         null         null
    -0.068789         -0.430469         0.454453          null         null         null
    -0.053078         -0.338516         0.366883          null         null         null
    -0.039338         -0.262414         0.300733          null         null         null
    -0.037915         -0.218525         0.24918          1.981707         -0.121951         0.487805
    -0.039903         -0.179507         0.182742          -2.164634         0.762195         -0.762195
    -0.027625         -0.146926         0.145803          -2.530488         0.640244         -1.52439
    -0.015069         -0.115783         0.123869          -0.731707         1.036585         -1.128049
    -0.006977         -0.088916         0.113744          0.823171         1.341463         -0.640244
    -0.002847         -0.069179         0.090409          0.426829         1.310976         -0.945122
    -0.007747         -0.052804         0.061585          -0.731707         1.158537         -1.006098
    -0.012447         -0.047712         0.043995          -1.310976         0.884146         -1.006098
    -0.012106         -0.042076         0.03461          -1.707317         0.70122         -1.006098
    -0.009099         -0.040692         0.034524          -1.798781         0.304878         -0.396341
    -0.00142         -0.035874         0.028596          -0.731707         -0.335366         0.823171
    -0.001136         -0.01073         0.019361          0.335366         0         1.554878
    0.006318         -0.000576         0.009629          -0.060976         -0.060976         1.036585
    0.010523         0.005984         0.009852          -0.609756         -0.030488         0.579268
    0.005293         0.006155         0.009444          -0.70122         0.884146         -0.579268
    -0.004164         0.003947         0.012438          -1.280488         1.371951         -1.768293
    -0.005675         -0.005436         0.012294          -3.079268         1.798781         -3.109756
    -0.010204         -0.022904         0.005148          -4.45122         2.042683         -2.865854
    -0.007968         -0.02301         0.00197          -3.780488         2.134146         -2.439024
    -0.007546         -0.015869         -0.003698          -2.560976         2.103659         -2.591464
    -0.002521         -0.005469         -0.004716          -1.493902         1.676829         -2.317073
    -0.00065         -0.004961         0.00111          -0.609756         1.341463         -2.073171
    -0.001106         -0.001625         0.002451          -0.457317         0.762195         -1.768293
    0.001069         -0.005792         0.002546          -1.067073         -0.060976         -1.158537
    0.005152         -0.012837         0.002623          -0.945122         -0.670732         -0.243902
    0.004121         -0.002652         -0.001417          -0.518293         -0.792683         0.487805
    0.0115         0.000417         0.000624          -0.457317         -0.945122         0.365854
    0.010177         0.000724         0.004601          0.213415         -0.97561         0.823171
    0.001891         0.004095         0.010907          0.853659         -0.27439         0.609756
    -0.006299         0.00269         0.003452          0.762195         0.121951         0.548781
    -0.010313         -0.002535         -0.000558          0.182927         0.487805         0.396341
    -0.008446         -0.001638         -0.007673          0.060976         0.762195         -0.030488
    -0.000897         -0.000919         -0.004185          0.823171         0.487805         0.213415
    0.000064         0.012546         0.000363          1.890244         0.548781         0.426829
    0.001223         0.011794         0.006735          1.52439         0.426829         -0.640244
    -0.002342         0.007873         0.006755          0.27439         0.27439         -0.823171
    0.003595         -0.000147         0.000717          -1.128049         0.335366         -0.823171
    0.004439         -0.012422         -0.00177          -1.463415         0.030488         -0.213415
    0.00277         -0.008375         -0.009033          -1.036585         0.060976         -0.060976
    0.003388         -0.013927         -0.007422          -0.335366         -0.243902         0.091463
    -0.00061         -0.011337         -0.002227          1.463415         -0.518293         1.067073
    0.002832         -0.002038         0.00193          3.810976         -0.426829         1.676829
    0.00207         0.007745         0.003497          5.487805         -0.487805         2.195122
