      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    -0.082617         -0.651172         0.456836          null         null         null
    -0.067656         -0.525234         0.365273          null         null         null
    -0.052953         -0.414914         0.28968          null         null         null
    -0.044316         -0.335252         0.231158          null         null         null
    -0.035843         -0.268006         0.186293          null         null         null
    -0.027893         -0.21128         0.155675          null         null         null
    -0.027197         -0.161211         0.123759          null         null         null
    -0.026836         -0.127211         0.103304          null         null         null
    -0.015414         -0.100597         0.081862          null         null         null
    -0.000027         -0.090439         0.043224          -1.493902         -0.914634         0.670732
    -0.001389         -0.078406         0.031259          -1.768293         -0.121951         0.091463
    -0.002869         -0.062529         0.026765          -0.853659         0.365854         0.243902
    0.000635         -0.050219         0.031178          0.243902         0.121951         0.304878
    -0.001445         -0.032558         0.036075          0.243902         0.060976         0.518293
    -0.00018         -0.024288         0.031594          -1.493902         -0.060976         0.335366
    -0.001316         -0.023728         0.020197          -2.652439         0.182927         -0.030488
    -0.004568         -0.018787         0.016744          -1.798781         0.792683         -0.457317
    -0.003264         -0.016592         0.016911          -1.158537         0.731707         -0.731707
    -0.000658         -0.016008         0.009427          -0.853659         0.609756         -1.006098
    -0.000331         -0.011439         0.002659          -0.365854         0.182927         -1.158537
    0.005204         -0.00544         0.006229          0.762195         -0.27439         -1.310976
    0.001038         -0.002204         0.001663          1.189024         -0.121951         -1.219512
    -0.004248         0.002339         0.003283          0.97561         0.304878         -1.341463
    -0.007304         0.000308         0.004384          -0.152439         0.548781         -1.52439
    -0.007992         -0.004441         -0.008602          -0.853659         0.579268         -1.981707
    -0.005612         -0.007068         -0.008835          -0.670732         0.609756         -2.347561
    -0.000974         -0.007022         -0.003161          -0.365854         0.762195         -2.713415
    0.003908         -0.005032         -0.005654          0         1.036585         -2.804878
    0.007423         -0.002267         -0.008039          1.52439         1.371951         -2.530488
    0.010236         -0.003767         -0.011314          3.75         1.341463         -2.408537
    0.007798         0.000111         -0.000262          6.768293         1.128049         -1.859756
    0.002723         0.00712         0.017564          7.987805         0.792683         -1.310976
    -0.001728         0.009798         0.023426          7.134147         0.213415         -0.823171
    0.001742         0.009401         0.022647          5.884147         -0.182927         -0.70122
    0.002371         0.004982         0.015579          4.542683         -0.182927         -0.823171
    0.002482         -0.000116         0.008557          3.963415         0.152439         -1.006098
    0.002572         -0.000874         0.007041          3.902439         0.579268         -1.128049
    -0.001458         0.005355         0.001531          3.20122         0.487805         -1.25
    -0.000581         0.003112         -0.000924          1.890244         -0.091463         -1.067073
    -0.003199         0.002881         -0.002497          1.219512         -0.243902         -0.884146
    -0.002168         0.002304         0.00562          1.371951         -0.152439         -0.670732
    -0.004078         0.002429         0.011136          1.646342         -0.060976         -0.670732
    -0.002091         0.002334         0.00969          0.396341         -0.060976         -0.640244
    -0.00011         -0.001062         -0.003771          -1.310976         -0.091463         -0.792683
    0.001084         0.000713         -0.010439          -1.95122         0.27439         -0.70122
    0.001062         -0.000016         -0.006789          -1.859756         0.70122         -0.945122
    0.002608         -0.005872         -0.010704          -1.463415         0.853659         -1.067073
    0.007164         -0.005674         -0.008954          -0.152439         0.579268         -0.762195
