      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.006055         -0.698828         0.363867          null         null         null
    0.008359         -0.567461         0.302813          null         null         null
    0.01157         -0.454945         0.247328          null         null         null
    0.007889         -0.369034         0.184581          null         null         null
    0.000257         -0.292493         0.139071          null         null         null
    -0.003896         -0.22794         0.108718          null         null         null
    0.003328         -0.183328         0.092443          null         null         null
    0.007155         -0.151936         0.083329          null         null         null
    0.004552         -0.120963         0.074281          null         null         null
    0.000321         -0.092669         0.043995          0.97561         0.792683         -0.609756
    0.002015         -0.078823         0.043008          0.365854         0.945122         -1.493902
    0.004346         -0.066964         0.034016          -0.426829         0.853659         -1.646342
    0.004454         -0.050447         0.024674          -0.365854         0.670732         -1.280488
    -0.002687         -0.03606         0.016028          -0.213415         0.762195         -0.731707
    -0.001368         -0.025528         0.013604          -0.426829         0.70122         -0.945122
    -0.001876         -0.022375         0.008344          -0.640244         0.823171         -1.158537
    0.001624         -0.021221         0.007456          0.060976         0.945122         -1.402439
    0.003057         -0.015023         0.009285          0.213415         1.189024         -1.493902
    0.000883         -0.014753         0.006452          -0.640244         1.036585         -1.097561
    -0.000661         -0.014537         0.001841          -0.792683         0.670732         -0.670732
    -0.001505         -0.008114         0.002449          -0.121951         0.518293         -0.70122
    -0.001204         -0.004733         0.004499          0.213415         0.609756         -0.731707
    0.002357         -0.005935         0.005161          0.304878         0.70122         -0.853659
    0.001495         0.000525         0.006278          0.365854         0.518293         -0.70122
    -0.003687         -0.001728         -0.000642          -0.487805         0.640244         -0.609756
    0.001543         -0.003922         -0.003053          -0.670732         0.426829         -0.792683
    -0.0015         -0.000989         -0.001661          -0.396341         0.579268         -0.609756
    0.000167         -0.005869         0.000429          -0.213415         0.457317         -0.609756
    0.004431         -0.002742         0.006203          0.487805         0.304878         -0.579268
    -0.001924         0.003275         0.006525          0.426829         0.609756         -0.518293
    -0.001539         0.002229         0.004048          0.091463         0.396341         -0.823171
    -0.003771         0.001002         -0.001254          -0.060976         0.548781         -0.609756
    0.001866         0.000997         -0.000417          -0.304878         0.243902         -0.518293
    0.000126         -0.002718         -0.000724          -1.006098         0.548781         -0.609756
    0.00264         -0.001003         0.000006          -0.487805         0.213415         -0.792683
    0.000354         -0.002169         0.004693          -0.121951         0         -0.640244
    -0.001475         0.000804         -0.002496          -0.182927         -0.335366         -0.548781
    0.002141         -0.000724         -0.002778          -0.27439         -0.640244         -0.487805
    -0.000827         0.000007         0.000317          -0.640244         -0.70122         -0.152439
    0.001097         -0.002729         0.003183          -0.731707         -0.304878         -0.152439
    0.00283         0.001528         0.000593          -0.152439         0.152439         -0.548781
    -0.002814         0.003566         -0.002064          -0.518293         0.304878         -0.060976
    0.000679         -0.00203         0.001083          -0.823171         0.121951         -0.426829
    0.001715         -0.003577         -0.001282          -0.213415         0.335366         -0.548781
    -0.000191         -0.000713         -0.000244          -0.091463         0.823171         -0.335366
    -0.000153         0.001968         -0.004102          -0.365854         0.670732         -0.365854
    -0.004028         0.002551         -0.000547          -0.091463         0.579268         -0.304878
    0.002246         -0.003818         0.006789          0.091463         0.396341         -0.609756
    0.007852         -0.002469         0.003283          -0.304878         0.640244         -0.670732
